Wall time,Step,Value
1698314503.5367975,1,0.6933741569519043
1698314503.6906872,2,0.6068430542945862
1698314503.8432496,3,0.5330662131309509
1698314504.0014687,4,0.49906525015830994
1698314504.1488254,5,0.4745640456676483
1698314504.2953687,6,0.4653981924057007
1698314504.4391582,7,0.46801134943962097
1698314504.591426,8,0.443082332611084
1698314504.75359,9,0.4540041387081146
1698314504.8992565,10,0.43898192048072815
1698314505.0459883,11,0.4250931143760681
1698314505.1975646,12,0.418007493019104
1698314505.3610644,13,0.42689770460128784
1698314505.5307949,14,0.4321794807910919
1698314505.6805646,15,0.4386376142501831
1698314505.8242435,16,0.41395601630210876
1698314505.9741125,17,0.4186241030693054
1698314506.142671,18,0.4113277494907379
1698314506.2962,19,0.4158736765384674
1698314506.4441142,20,0.3992973566055298
1698314506.606168,21,0.4204779863357544
1698314506.7509997,22,0.40769162774086
1698314506.9115052,23,0.39607372879981995
1698314507.060182,24,0.4232030510902405
1698314507.226745,25,0.4032549560070038
1698314507.380634,26,0.39026957750320435
1698314507.5356457,27,0.41532284021377563
1698314507.6867833,28,0.4222402572631836
1698314507.8416698,29,0.3972570598125458
1698314508.0008204,30,0.37546274065971375
1698314508.1533732,31,0.4211902916431427
1698314508.2979124,32,0.3865346908569336
1698314508.4435003,33,0.4093197286128998
1698314508.614424,34,0.41302037239074707
1698314508.7743986,35,0.3937656581401825
1698314508.924642,36,0.4200543761253357
1698314509.085867,37,0.4040941894054413
1698314509.239577,38,0.3983232080936432
1698314509.3904932,39,0.41741013526916504
1698314509.5368488,40,0.41587886214256287
1698314509.6852458,41,0.4101337790489197
1698314509.8339944,42,0.38630419969558716
1698314509.992553,43,0.38560017943382263
1698314510.164783,44,0.4104086756706238
1698314510.323739,45,0.38476067781448364
1698314510.475631,46,0.3800649046897888
1698314510.6314511,47,0.3908473551273346
1698314510.7824373,48,0.4318077564239502
1698314510.9432306,49,0.41017505526542664
1698314511.5283422,50,0.40513110160827637
1698314511.7091823,51,0.38187411427497864
1698314511.876573,52,0.39037859439849854
1698314512.0450332,53,0.42998945713043213
1698314512.2102885,54,0.4034156799316406
1698314512.361258,55,0.4149836301803589
1698314512.529189,56,0.38386428356170654
1698314512.6879122,57,0.39324870705604553
1698314512.8488274,58,0.3943597078323364
1698314513.0043824,59,0.3913501799106598
1698314513.1593556,60,0.4048701226711273
1698314513.3313725,61,0.3963795602321625
1698314513.4836729,62,0.3840327560901642
1698314513.6499374,63,0.3894214928150177
1698314513.813932,64,0.38549935817718506
1698314513.9719727,65,0.3827974796295166
1698314514.1335104,66,0.3909570872783661
1698314514.2981799,67,0.4134604036808014
1698314514.4541426,68,0.4138941764831543
1698314514.6152139,69,0.40867412090301514
1698314514.76193,70,0.39186885952949524
1698314514.917196,71,0.37882205843925476
1698314515.0718179,72,0.4043092131614685
1698314515.2281647,73,0.39712151885032654
1698314515.3787746,74,0.4271896183490753
1698314515.544379,75,0.38395658135414124
1698314515.7039917,76,0.3838287889957428
1698314515.863272,77,0.3845934271812439
1698314516.018665,78,0.3873753845691681
1698314516.1761801,79,0.40935972332954407
1698314516.3292618,80,0.41192686557769775
1698314516.4836862,81,0.400901734828949
1698314516.643863,82,0.37731337547302246
1698314516.7949662,83,0.4065026640892029
1698314516.9384897,84,0.39925849437713623
1698314517.082236,85,0.3994728624820709
1698314517.2310874,86,0.40921834111213684
1698314517.3793488,87,0.3930318057537079
1698314517.5493186,88,0.4106495678424835
1698314517.7053325,89,0.4049873352050781
1698314517.8547027,90,0.4011707901954651
1698314518.0135577,91,0.39613738656044006
1698314518.1562905,92,0.38575243949890137
1698314518.3028522,93,0.37733760476112366
1698314518.4473426,94,0.4197832942008972
1698314518.600567,95,0.40525132417678833
1698314518.7485185,96,0.4015892744064331
1698314518.9011075,97,0.3827410042285919
1698314519.0522382,98,0.40208899974823
1698314519.218032,99,0.3910619616508484
1698314519.372653,100,0.37774816155433655
